NAME,BUS,BASE_KV,PHASES,BASE_KVA,PF,BASE_KW,GEN_SHAPE,COMMUNITY
PV1FFLX001,BUSLVFLX1295,0.24,1,1,1,1,PVprofile,1
PV1FFLX002,BUSLVFLX1299,0.24,1,1,1,1,PVprofile,1
PV1FFLX003,BUSLVFLX1300,0.24,1,1,1,1,PVprofile,1
PV1FFLX004,BUSLVFLX1328,0.24,1,1,1,1,PVprofile,1
PV1FFLX005,BUSLVFLX1341,0.24,1,1,1,1,PVprofile,1
PV1FFLX006,BUSLVFLX1348,0.24,1,1,1,1,PVprofile,1
PV1FFLX007,BUSLVFLX1353,0.24,1,1,1,1,PVprofile,1
PV1FFLX008,BUSLVFLX1371,0.24,1,1,1,1,PVprofile,1
PV1FFLX009,BUSLVFLX1372,0.24,1,1,1,1,PVprofile,1
PV1FFLX010,BUSLVFLX1378,0.24,1,1,1,1,PVprofile,1
PV1FFLX011,BUSLVFLX1382,0.24,1,1,1,1,PVprofile,1
PV1FFLX012,BUSLVFLX1385,0.24,1,1,1,1,PVprofile,1
PV1FFLX013,BUSLVFLX1386,0.24,1,1,1,1,PVprofile,1
PV1FFLX014,BUSLVFLX1393,0.24,1,1,1,1,PVprofile,1
PV1FFLX015,BUSLVFLX1396,0.24,1,1,1,1,PVprofile,1
PV1FFLX016,BUSLVFLX1303,0.24,1,1,1,1,PVprofile,2
PV1FFLX017,BUSLVFLX1306,0.24,1,1,1,1,PVprofile,2
PV1FFLX018,BUSLVFLX1310,0.24,1,1,1,1,PVprofile,2
PV1FFLX019,BUSLVFLX1339,0.24,1,1,1,1,PVprofile,2
PV1FFLX020,BUSLVFLX1343,0.24,1,1,1,1,PVprofile,2
PV1FFLX021,BUSLVFLX1352,0.24,1,1,1,1,PVprofile,2
PV1FFLX022,BUSLVFLX1367,0.24,1,1,1,1,PVprofile,2
PV1FFLX023,BUSLVFLX1368,0.24,1,1,1,1,PVprofile,2
PV1FFLX024,BUSLVFLX1383,0.24,1,1,1,1,PVprofile,2
PV1FFLX025,BUSLVFLX1397,0.24,1,1,1,1,PVprofile,2
PV1FFLX026,BUSLVFLX1308,0.24,1,1,1,1,PVprofile,3
PV1FFLX027,BUSLVFLX1313,0.24,1,1,1,1,PVprofile,3
PV1FFLX028,BUSLVFLX1319,0.24,1,1,1,1,PVprofile,3
PV1FFLX029,BUSLVFLX1336,0.24,1,1,1,1,PVprofile,3
PV1FFLX030,BUSLVFLX1344,0.24,1,1,1,1,PVprofile,3
PV1FFLX031,BUSLVFLX1347,0.24,1,1,1,1,PVprofile,3
PV1FFLX032,BUSLVFLX1350,0.24,1,1,1,1,PVprofile,3
PV1FFLX033,BUSLVFLX1360,0.24,1,1,1,1,PVprofile,3
PV1FFLX034,BUSLVFLX1374,0.24,1,1,1,1,PVprofile,3
PV1FFLX035,BUSLVFLX1376,0.24,1,1,1,1,PVprofile,3
PV1FFLX036,BUSLVFLX1379,0.24,1,1,1,1,PVprofile,3
PV3FFLX037,BUSLVFLX1209,0.24,3,1,1,1,PVprofile,4
PV3FFLX038,BUSLVFLX1219,0.24,3,1,1,1,PVprofile,4
PV3FFLX039,BUSLVFLX1232,0.24,3,1,1,1,PVprofile,4
PV3FFLX040,BUSLVFLX1236,0.24,3,1,1,1,PVprofile,4
PV3FFLX041,BUSLVFLX1240,0.24,3,1,1,1,PVprofile,4
PV3FFLX042,BUSLVFLX1242,0.24,3,1,1,1,PVprofile,4
PV3FFLX043,BUSLVFLX1246,0.24,3,1,1,1,PVprofile,4
PV3FFLX044,BUSLVFLX1248,0.24,3,1,1,1,PVprofile,4
PV3FFLX045,BUSLVFLX1253,0.24,3,1,1,1,PVprofile,4
PV3FFLX046,BUSLVFLX1255,0.24,3,1,1,1,PVprofile,4
PV3FFLX047,BUSLVFLX1259,0.24,3,1,1,1,PVprofile,4
PV3FFLX048,BUSLVFLX1262,0.24,3,1,1,1,PVprofile,4
PV3FFLX049,BUSLVFLX1264,0.24,3,1,1,1,PVprofile,4
PV3FFLX050,BUSLVFLX1270,0.24,3,1,1,1,PVprofile,4
PV3FFLX051,BUSLVFLX1271,0.24,3,1,1,1,PVprofile,4
PV3FFLX052,BUSLVFLX1272,0.24,3,1,1,1,PVprofile,4
PV1FFLX053,BUSLVFLX548,0.24,1,1,1,1,PVprofile,5
PV1FFLX054,BUSLVFLX696,0.24,1,1,1,1,PVprofile,5
