NAME,A_[R$/KW^2],B_[R$/KW]
1FFLX001,-0.001323861099554079,0.5479284104368004
1FFLX002,-0.001425927099304856,0.5550063580416386
1FFLX003,-0.001154537256057473,0.5983179586900512
1FFLX004,-0.0002972109523863417,0.572788709273119
1FFLX005,-0.0010670807725951424,0.586985016079086
1FFLX006,-0.000823084055079165,0.5439947701561324
1FFLX007,-0.001162979604047757,0.5501024668061566
1FFLX008,-0.00015465747800947,0.5620469120447774
1FFLX009,-0.0006841133834145583,0.6049330981846506
1FFLX010,-0.0008930726963161905,0.547603642225775
1FFLX011,-0.0011988787374554164,0.6094257998963936
1FFLX012,-0.00021238144993888366,0.5908661590873814
1FFLX013,-0.00048714648965862413,0.6148281643065393
1FFLX014,-0.0006420387890955681,0.5435929899659228
1FFLX015,-0.00013956053802750596,0.5928888157570921
1FFLX016,-0.0010584003116169021,0.5656002029057237
1FFLX017,-0.0003118242104730325,0.6111672995324143
1FFLX018,-0.0012481121237798935,0.5971575904718979
1FFLX019,-0.0014192588013811477,0.55503790756546
1FFLX020,-0.0006215555565632373,0.5603096197684054
1FFLX021,-0.0001233033625192201,0.618823606154911
1FFLX022,-0.0002757201726439587,0.5518033644709144
1FFLX023,-0.0013196253089807638,0.5616935692536449
1FFLX024,-0.0011170183055838505,0.5906573466753648
1FFLX025,-0.001355337518765074,0.6130867695145534
1FFLX026,-0.0015131543446863828,0.5761265344702532
1FFLX027,-0.00013027653083889598,0.5728105507260051
1FFLX028,-0.0005304443479051575,0.5467306042209777
1FFLX029,-0.0002802287985337131,0.6037543206631069
1FFLX030,-0.0012608795732362863,0.5663981970287089
1FFLX031,-0.0005202815747290675,0.5835322500024047
1FFLX032,-0.0010187065874832167,0.5898161634585717
1FFLX033,-0.00011833217994852317,0.6022480355449944
1FFLX034,-0.001154855309071199,0.6070172775049713
1FFLX035,-0.0013413018093456747,0.5615405422901643
1FFLX036,-0.0010926776656391144,0.57962475221415
3FFLX037,-0.001346395897734711,0.5442078281799939
3FFLX038,-0.001534760970334277,0.6096113299622169
3FFLX039,-0.0001004663826195463,0.6138784554051218
3FFLX040,-0.0013111141309475598,0.5784586890770782
3FFLX041,-0.00046833908769370485,0.5585546468368312
3FFLX042,-0.0007118894766056593,0.5446886309589561
3FFLX043,-0.0014665926892041548,0.5540054906735697
3FFLX044,-0.0007991980259381481,0.5970294836543809
3FFLX045,-0.00037093723693748916,0.5474318373626739
3FFLX046,-0.0005777118651811327,0.5630619382668955
3FFLX047,-0.0011423262377707171,0.580549769256662
3FFLX048,-0.0014244204783093063,0.5457978668401033
3FFLX049,-0.0012562972022399296,0.6041571666494743
3FFLX050,-0.0010795767574033185,0.5434733589580795
3FFLX051,-0.0004034789309127365,0.5959252710496905
3FFLX052,-0.00020701635796185587,0.5780776793605498
1FFLX053,-0.0009909647987491675,0.5602640335750928
1FFLX054,-0.0002150196539004146,0.5519910220972012
1FFLX055,-0.0008594784265263224,0.6104855622287061
1FFLX056,-0.0003863232963377452,0.5639123024320453
1FFLX057,-0.001295220868114391,0.5755675727601174
3FFLX058,-0.0007674230734008848,0.5447370481703394
1FFLX059,-0.0008950786475483201,0.5900660949925526
1FFLX060,-0.00032327424537277735,0.5612357145793301
1FFLX061,-0.001024372473794037,0.6157607458560056
1FFLX062,-0.0015077952892084822,0.5504412473754684
3FFLX063,-0.0007122895919853956,0.5549317543022254
1FFLX064,-0.0012504268934347682,0.5898150568497095
3FFLX065,-0.0010012028887086827,0.5849904585529412
1FFLX066,-0.0004878020774585327,0.5731241864936114
1FFLX067,-0.0004635860373386907,0.6125565707760573
3FFLX068,-0.0015724558646011651,0.566636836444414
1FFLX069,-0.0014642939362160769,0.5743468849961256
1FFLX070,-0.0010909504433552339,0.5978860419670111
1FFLX071,-0.0015059809094897943,0.5929437110336898
1FFLX072,-0.00019207222510745194,0.5880780746650331
1FFLX073,-0.0005446420598892163,0.5553438269108537
1FFLX074,-0.0010118517101261122,0.6075343209777642
1FFLX075,-0.000620054188241432,0.6089092449643915
1FFLX076,-0.0005148796423504751,0.593012529243992
1FFLX077,-0.0012382471449602992,0.5513386787740954
3FFLX078,-0.00016362743265709305,0.6046443991825454
1FFLX079,-0.0007768241020293441,0.5912133977976595
1FFLX080,-0.00023292154906342523,0.5818585947353466
1FFLX081,-0.0012374069630598074,0.6049480268066628
1FFLX082,-0.0003322650308012654,0.5495756136880579
